FilePath,FileName,PredictedCategory,Date,Score_FakeIDs,Score_DrugPayments,Score_LocationScreenshots,Score_Conversations,Score_BackgroundDocs
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_4948.PNG,IMG_4948.PNG,Conversations,2025-08-13,0.1650,0.2232,0.1926,0.2751,0.2286
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_4949.PNG,IMG_4949.PNG,Conversations,2025-08-13,0.1609,0.2226,0.2079,0.2582,0.2149
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_4955.PNG,IMG_4955.PNG,Conversations,2025-08-13,0.1690,0.2177,0.1897,0.2899,0.2048
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5181.PNG,IMG_5181.PNG,Conversations,2025-08-13,0.1749,0.2493,0.1982,0.2960,0.2169
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5182.PNG,IMG_5182.PNG,Conversations,2025-08-13,0.1754,0.2489,0.1980,0.2948,0.2174
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5200.PNG,IMG_5200.PNG,Conversations,2025-08-13,0.1806,0.2514,0.2024,0.2788,0.2371
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5220.PNG,IMG_5220.PNG,Conversations,2025-08-13,0.1948,0.2265,0.2234,0.2965,0.1890
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5221.PNG,IMG_5221.PNG,Conversations,2025-08-13,0.2096,0.2293,0.2208,0.2956,0.1995
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5258.PNG,IMG_5258.PNG,Conversations,2025-08-13,0.1693,0.2345,0.1813,0.2791,0.2213
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5259.PNG,IMG_5259.PNG,Conversations,2025-08-13,0.1789,0.2522,0.2071,0.2954,0.2200
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5261.PNG,IMG_5261.PNG,Conversations,2025-08-13,0.2046,0.2246,0.2188,0.2977,0.1949
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5365.PNG,IMG_5365.PNG,Conversations,2025-08-13,0.2055,0.2384,0.2108,0.2651,0.2122
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5369.PNG,IMG_5369.PNG,Conversations,2025-08-13,0.2066,0.2420,0.2143,0.2643,0.2129
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5896.PNG,IMG_5896.PNG,Conversations,2025-08-13,0.1585,0.2135,0.1879,0.2678,0.2103
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5903.PNG,IMG_5903.PNG,Conversations,2025-08-13,0.1652,0.2170,0.1858,0.2476,0.2207
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5904.PNG,IMG_5904.PNG,Conversations,2025-08-13,0.1626,0.2220,0.1984,0.2703,0.2115
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5905.PNG,IMG_5905.PNG,Conversations,2025-08-13,0.1815,0.2174,0.1836,0.2613,0.2166
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5906.PNG,IMG_5906.PNG,DrugPayments,2025-08-13,0.1833,0.2517,0.1833,0.2406,0.2391
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5907.PNG,IMG_5907.PNG,Conversations,2025-08-13,0.1880,0.2585,0.2177,0.2851,0.2148
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5908.PNG,IMG_5908.PNG,Conversations,2025-08-13,0.1874,0.2441,0.1743,0.2600,0.2262
02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5909.PNG,IMG_5909.PNG,Conversations,2025-08-13,0.1468,0.2137,0.1794,0.2487,0.2089
