PredictedCategory,Date,FilePath,FileName
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5953.PNG,IMG_5953.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5954.PNG,IMG_5954.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6556.PNG,IMG_6556.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6557.PNG,IMG_6557.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6564.PNG,IMG_6564.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6565.PNG,IMG_6565.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6567.PNG,IMG_6567.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6569.PNG,IMG_6569.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6570.PNG,IMG_6570.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6571.PNG,IMG_6571.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6572.PNG,IMG_6572.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6578.PNG,IMG_6578.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6579.PNG,IMG_6579.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6580.PNG,IMG_6580.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6581.PNG,IMG_6581.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6582.PNG,IMG_6582.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6583.PNG,IMG_6583.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6584.PNG,IMG_6584.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6585.PNG,IMG_6585.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6586.PNG,IMG_6586.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6587.PNG,IMG_6587.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6589.PNG,IMG_6589.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6593.PNG,IMG_6593.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6595.PNG,IMG_6595.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6596.PNG,IMG_6596.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6599.PNG,IMG_6599.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6600.PNG,IMG_6600.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6602.PNG,IMG_6602.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6603.PNG,IMG_6603.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6605.PNG,IMG_6605.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6606.PNG,IMG_6606.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6607.PNG,IMG_6607.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6608.PNG,IMG_6608.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6609.PNG,IMG_6609.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6610.PNG,IMG_6610.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6611.PNG,IMG_6611.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6612.PNG,IMG_6612.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6617.PNG,IMG_6617.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6966.PNG,IMG_6966.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6967.PNG,IMG_6967.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6968.PNG,IMG_6968.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6969.PNG,IMG_6969.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6970.PNG,IMG_6970.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6971.PNG,IMG_6971.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6972.PNG,IMG_6972.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6973.PNG,IMG_6973.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6974.PNG,IMG_6974.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6975.PNG,IMG_6975.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6976.PNG,IMG_6976.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6977.PNG,IMG_6977.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6978.PNG,IMG_6978.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6979.PNG,IMG_6979.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6980.PNG,IMG_6980.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6981.PNG,IMG_6981.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6982.PNG,IMG_6982.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6983.PNG,IMG_6983.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6984.PNG,IMG_6984.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6985.PNG,IMG_6985.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6986.PNG,IMG_6986.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6993.PNG,IMG_6993.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7005.PNG,IMG_7005.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7082.PNG,IMG_7082.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7083.PNG,IMG_7083.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7084.PNG,IMG_7084.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7085.PNG,IMG_7085.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7086.PNG,IMG_7086.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7123.PNG,IMG_7123.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7125.PNG,IMG_7125.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7126.PNG,IMG_7126.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7187.PNG,IMG_7187.PNG
Conversations,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_7188.PNG,IMG_7188.PNG
DrugPayments,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_1810.PNG,IMG_1810.PNG
DrugPayments,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_5906.PNG,IMG_5906.PNG
FakeIDs,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_0708.PNG,IMG_0708.PNG
FakeIDs,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_6597.PNG,IMG_6597.PNG
LocationScreenshots,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_1809.PNG,IMG_1809.PNG
LocationScreenshots,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_2038.PNG,IMG_2038.PNG
LocationScreenshots,2025-08-13,02-evidence/redacted/E-001-GooglePhotos-selected/IMG_3291.PNG,IMG_3291.PNG
