"SHA256","Category","DateFolder","SourcePath","DestPath","EvidenceBucket","DateTaken","FallbackTimestamp"
"7B0373269F97AB52CD893EBA25BCA851C807497990C8BEF27312404074BA2A5D","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6587.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6587.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"59C0FF98B8F67BA9525783D6ECE36666AF55510DBCCBBBCFC90290B7CB6D0A30","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6589.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6589.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"91F6ED26C64FE21AD6CEA353905D8D164519AEC0FB577DD3260B61BAADA35356","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6593.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6593.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"B06A078EAF49DDE38846DE581A3632A0F5F8A103E51C284FF95A9DF61DF1C499","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6595.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6595.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4B6136CCC72052C94F9691741223E8297644E365FF778FCF825BA1A25FDA5E70","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6596.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6596.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"C394464D5DF74F32C0F9761B13594EB72F016ABB7E95B33D50E613D0FB5E7DC7","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6597.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6597.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4C3060DF4A442BE9D780E054955FAFC66AEEF18A0ADA568E099F44F6B52D9BB5","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6599.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6599.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"B823BF971ED7C5F0BE21619F3BB7520629942F820EBD44C654DB97310E801637","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6600.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6600.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"432AEA89F9D8005FFB5AE3F0D285A9F45397C9FE3C31C38CA11F53059D6B8C33","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6602.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6602.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"723845C9AE39458BFE12AAF35A2C5EF06DD96C5AE000EE43F1C93B66D7644EEA","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6603.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6603.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"AFC3EED11A1B424C6753889F3C386B20D5E84192BD1A8A6A18E70F6A748A54E1","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6605.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6605.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"2D08083A67A774D0C055087BD0258F60331524CA8B0260E0E32A4FDC1185142F","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6606.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6606.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"709CDF6DB629CED5B99A21B596056140C544E3E7163BF25577EC326112AAA56F","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6607.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6607.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"6C4A2DF7E0BA46E63D1A4543797AACA0DEA0080B76CFA63FB791E8AE36E4C0FB","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6608.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6608.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"E26202975F0264A1FD7222B744937676005379023A13C08ED7FF0364DE4B6ADA","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6609.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6609.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"0137EE062C4274C0AF5098BA368656083E714EF798B5FB2CDA394282B5DBC00A","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6610.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6610.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4DF00868142847DCD361491351AC1CFDC830118536EA8FE974FC438D49738B4B","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6611.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6611.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"4ED78DBDF37ED3FA326CB800484E2D19F85E0E4D6C2D95E0A685D0905EE85F06","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6612.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6612.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"383C36C3C6E6E5570649CCF05E1BC96FCAE07C3CCF57DC420CC04A0E93F3C58B","Conversations","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6617.PNG",".\02-evidence\redacted\categorized\Conversations\1980-01-01\IMG_6617.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"9E5A5AEEB930DD589CB589CE68DBBF3DE1F0E5EB56AB349C0AFAAE974E7D3E9B","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6966.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6966.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"584FED6F5EDA18B1C571A834DA220E2602AF54B778393E3E541108F3C899B301","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6967.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6967.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
"41748EE91A39F53EFE44D62F6D17420126D19B41D558CBC7EA213C00CC924BFF","LocationScreenshots","1980-01-01","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-001-GooglePhotos\extracted\adri communication\IMG_6968.PNG",".\02-evidence\redacted\categorized\LocationScreenshots\1980-01-01\IMG_6968.PNG","E-001-GooglePhotos","","1980-01-01 00:00:00"
