"When","Source","EvidenceBucket","FilePath","SHA256","Title","Body","EvidenceRefs","IncludeHits","ExcludeHits","ConcernFlag"
"2025-08-09 14:39:47","Audio","E-002-AudioConversations","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-002-AudioConversations\You did it for your parents April 8th post lake incident relating to not needing a green card anymor (1).m4a","","You did it for your parents April 8th post lake incident relating to not needing a green card anymor (1)","","","","",""
"2025-08-09 14:40:33","Audio","E-002-AudioConversations","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-002-AudioConversations\Her talking with man that’s picking her up and we are not in a relationship (1).m4a","","Her talking with man that’s picking her up and we are not in a relationship (1)","","","","",""
"2025-08-09 14:42:36","Audio","E-002-AudioConversations","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-002-AudioConversations\Half way into catching and addressing her texting her ex (1).m4a","","Half way into catching and addressing her texting her ex (1)","","","","",""
"2025-08-09 14:42:57","Audio","E-002-AudioConversations","C:\Users\OH\Projects\marriage-fraud-report\02-evidence\raw\E-002-AudioConversations\Half way into catching and addressing her texting her ex (2).m4a","","Half way into catching and addressing her texting her ex (2)","","","","",""
